,Longitude,Latitude,line,station,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
91,2.137493,41.37525,METRO (L1),PLAÇA DE SANTS/METRO (L1),7,Tapas Restaurant,Bar,Italian Restaurant,Mediterranean Restaurant,Coffe Shop,Hotel,Wine Bar,Middle Eastern Restaurant,Pizza Place,Supermarket
93,2.187086,41.416156,METRO (L1),NAVAS/METRO (L1),9,Supermarket,Grocery Store,Restaurant,Coffe Shop,Italian Restaurant,Gym,Brewery,Cooking School,Japanese Restaurant,Middle Eastern Restaurant
95,2.180119,41.372103,Transbordador del Port,Jaume I/Transbordador del Port,1,Coffe Shop,Pier,Park,Clothing Store,Boat or Ferry,Food Truck,Cosmetics Shop,Donut Shop,Hotel,Mediterranean Restaurant
104,2.181952,41.393385,RENFE,ARC DE TRIOMF/RENFE,1,Coffe Shop,Hotel,Restaurant,Bistro,Gym,Pizza Place,Hostel,Mediterranean Restaurant,Chinese Restaurant,Breakfast Spot
106,2.142362,41.375134,METRO (L1),HOSTAFRANCS/METRO (L1),7,Tapas Restaurant,Pizza Place,Restaurant,Hotel,Bar,Mediterranean Restaurant,Bakery,Hot Dog Joint,Nightclub,Wine Bar
107,2.163163,41.406001,METRO (L4),JOANIC/METRO (L4),7,Tapas Restaurant,Bar,Coffe Shop,Restaurant,Plaza,Pizza Place,Mediterranean Restaurant,Mexican Restaurant,Brewery,Vegetarian / Vegan Restaurant
110,2.177118,41.44795,METRO (L3),ROQUETES/METRO (L3),9,Restaurant,Gym,Music Venue,Sports Club,Falafel Restaurant,Castle,Diner,Gym Pool,Pharmacy,Grocery Store
111,2.184457,41.449665,METRO (L3),TRINITAT NOVA/METRO (L3),5,Restaurant,Park,Breakfast Spot,Grocery Store,Music Venue,Tapas Restaurant,Pharmacy,Juice Bar,Rock Club,Football Stadium
118,2.16169,41.375204,METRO (L3),POBLE SEC/METRO (L3),7,Tapas Restaurant,Coffe Shop,Restaurant,Pizza Place,Cocktail Bar,Italian Restaurant,Bar,Beer Bar,Brewery,Burger Joint
119,2.174845,41.429404,METRO (L5),VIRREI AMAT/METRO (L5),7,Coffe Shop,Tapas Restaurant,Bar,Restaurant,Grocery Store,Asian Restaurant,Food,Diner,Supermarket,Plaza
123,2.142754,41.398631,FGC,MUNTANER/FGC,1,Mediterranean Restaurant,Restaurant,Coffe Shop,Italian Restaurant,Grocery Store,Japanese Restaurant,Deli / Bodega,Park,Plaza,Bar
124,2.167494,41.399121,METRO (L5),VERDAGUER/METRO (L5),7,Restaurant,Tapas Restaurant,Italian Restaurant,Hotel,Mediterranean Restaurant,Bakery,Japanese Restaurant,Hostel,Vegetarian / Vegan Restaurant,Bar
125,2.195013,41.415283,METRO (L2),BAC DE RODA/METRO (L2),9,Supermarket,Gym,Restaurant,Park,Food & Drink Shop,Burger Joint,Grocery Store,Bakery,Soccer Field,Mediterranean Restaurant
126,2.193133,41.429748,"METRO (L9, L10)","ONZE DE SETEMBRE/METRO (L9, L10)",9,Supermarket,Coffe Shop,Tapas Restaurant,Mediterranean Restaurant,Italian Restaurant,Soccer Field,Restaurant,Breakfast Spot,Organic Grocery,Health Food Store
129,2.182802,41.407068,METRO (L2),ENCANTS/METRO (L2),1,Restaurant,Coffe Shop,Gym,Sandwich Place,Hotel,Hot Dog Joint,Mediterranean Restaurant,Hostel,Burger Joint,Farmers Market
130,2.151636,41.399679,"FGC (L6,L7)","GRÀCIA/FGC (L6,L7)",7,Tapas Restaurant,Restaurant,Mediterranean Restaurant,Coffe Shop,Plaza,Japanese Restaurant,Bar,Ice Cream Shop,Pizza Place,Grocery Store
133,2.157006,41.438128000000006,METRO (L3),VALLDAURA/METRO (L3),9,Restaurant,Park,Soccer Stadium,Soccer Field,Outdoors & Recreation,Supermarket,Bakery,Hostel,Hotel,Tapas Restaurant
135,2.190501,41.442298,METRO (L1),TORRAS I BAGES/METRO (L1),9,Restaurant,Grocery Store,Pizza Place,Plaza,Supermarket,Bakery,Mexican Restaurant,Department Store,Japanese Restaurant,Pharmacy
137,2.187098,41.402063,METRO (L1),GLÒRIES/METRO (L1),2,Hotel,Restaurant,Mediterranean Restaurant,Theater,Clothing Store,Tapas Restaurant,Hostel,Climbing Gym,Art Museum,Coffe Shop
140,2.187272,41.423089,METRO (L1),LA SAGRERA/METRO (L1),9,Restaurant,Grocery Store,Burger Joint,Bar,Supermarket,Gym,Bakery,Plaza,Tapas Restaurant,Playground
143,2.213571,41.417238,"TRAMVIA (T5, T6)","ALFONS EL MAGNÀNIM/TRAMVIA (T5, T6)",9,Restaurant,Grocery Store,Food & Drink Shop,Skate Park,Diner,Big Box Store,Supermarket,Bakery,Climbing Gym,Coffe Shop
145,2.193551,41.408024,"TRAMVIA (T5, T6)","CAN JAUMANDREU/TRAMVIA (T5, T6)",0,Restaurant,Tapas Restaurant,Mediterranean Restaurant,Japanese Restaurant,Supermarket,Clothing Store,Park,Cocktail Bar,Vegetarian / Vegan Restaurant,Dessert Shop
146,2.147016,41.401372,FGC,SANT GERVASI/FGC,1,Coffe Shop,Mediterranean Restaurant,Restaurant,Pizza Place,Hotel,Tapas Restaurant,Plaza,Wine Bar,Grocery Store,Bakery
155,2.159449,41.382955,METRO (L1),URGELL/METRO (L1),7,Coffe Shop,Cocktail Bar,Restaurant,Tapas Restaurant,Mediterranean Restaurant,Bar,Japanese Restaurant,Hotel,Gay Bar,Wine Bar
156,2.163015,41.379953,METRO (L2),SANT ANTONI/METRO (L2),1,Coffe Shop,Bar,Restaurant,Cocktail Bar,Mediterranean Restaurant,Hotel,Bookstore,Pizza Place,Argentinian Restaurant,Wine Bar
158,2.166992,41.430601,METRO (L5),VILAPICINA/METRO (L5),9,Restaurant,Tapas Restaurant,Supermarket,Pizza Place,Pub,Italian Restaurant,Breakfast Spot,Hot Dog Joint,Coffe Shop,Pharmacy
163,2.175987,41.377112,METRO (L3),DRASSANES/METRO (L3),7,Restaurant,Bar,Tapas Restaurant,Hotel,Italian Restaurant,Mediterranean Restaurant,Cocktail Bar,Coffe Shop,Pizza Place,Seafood Restaurant
168,2.176324,41.41102100000001,METRO (L5),SANT PAU/METRO (L5),1,Restaurant,Bakery,Hotel,Supermarket,Italian Restaurant,Coffe Shop,Grocery Store,Bar,Pizza Place,Japanese Restaurant
