,Longitude,Latitude,line,station,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,2.142987,41.424923,"METRO (L3, L5)","VALL D'HEBRON/METRO (L3, L5)",4,Restaurant,Soccer Stadium,Bakery,Athletics & Sports,Farmers Market,Basketball Court,Bar,Stadium,Soccer Field,Grocery Store
1,2.158326,41.392331,FGC,PROVENÇA/FGC,2,Hotel,Restaurant,Mediterranean Restaurant,Cocktail Bar,Tapas Restaurant,Boutique,Sandwich Place,Hostel,Burger Joint,Gym
2,2.11937,41.399203,FGC (L6),REINA ELISENDA/FGC (L6),1,Restaurant,Coffe Shop,Bakery,Breakfast Spot,Tapas Restaurant,Mediterranean Restaurant,Dessert Shop,Pedestrian Plaza,Burger Joint,Diner
3,2.135427,41.397791,FGC (L6),LA BONANOVA/FGC (L6),1,Restaurant,Japanese Restaurant,Italian Restaurant,Coffe Shop,Gastropub,Salad Place,Bakery,Gym,Burger Joint,Bistro
4,2.185391,41.451492,METRO (L11),CASA DE L'AIGUA/METRO (L11),5,Restaurant,Park,Breakfast Spot,Grocery Store,Pharmacy,Pie Shop,Food Court,Monument / Landmark,South American Restaurant,Taco Place
5,2.174473,41.460889,METRO (L11),CIUTAT MERIDIANA/METRO (L11),4,Mediterranean Restaurant,Plaza,Park,Grocery Store,Supermarket,Neighborhood,Comfort Food Restaurant,Food Court,Football Stadium,Monument / Landmark
6,2.168588,41.3872,METRO (L1),CATALUNYA/METRO (L1),2,Hotel,Coffe Shop,Tapas Restaurant,Bookstore,Plaza,Restaurant,Clothing Store,Theater,Sporting Goods Shop,Cocktail Bar
10,2.179581,41.40018,METRO (L2),MONUMENTAL/METRO (L2),1,Restaurant,Coffe Shop,Hotel,Grocery Store,Tapas Restaurant,Mexican Restaurant,Mediterranean Restaurant,Bakery,Bed & Breakfast,Indian Restaurant
11,2.153966,41.37907,METRO (L1),ROCAFORT/METRO (L1),1,Coffe Shop,Hotel,Tapas Restaurant,Mediterranean Restaurant,Restaurant,Burger Joint,Bar,Indian Restaurant,Gym,Cocktail Bar
12,2.168735,41.389295,METRO (L2),PASSEIG DE GRÀCIA/METRO (L2),2,Hotel,Restaurant,Tapas Restaurant,Mediterranean Restaurant,Clothing Store,Hostel,Coffe Shop,Sporting Goods Shop,Bookstore,Cocktail Bar
14,2.161228,41.430042,METRO (L5),HORTA/METRO (L5),9,Restaurant,Tapas Restaurant,Coffe Shop,Pizza Place,Food & Drink Shop,Burger Joint,Gym,Sandwich Place,Mediterranean Restaurant,Pub
16,2.197653,41.411242,"TRAMVIA (T5, T6)","ESPRONCEDA/TRAMVIA (T5, T6)",9,Supermarket,Restaurant,Tapas Restaurant,Mediterranean Restaurant,Asian Restaurant,Burger Joint,Tennis Court,Music Store,Historic Site,Bus Station
17,2.115012,41.38048,"TRAMVIA (T1,T2,T3)","AVINGUDA DE XILE/TRAMVIA (T1,T2,T3)",0,Restaurant,Gym,Bar,Nightclub,Soccer Field,Coffe Shop,Supermarket,Mediterranean Restaurant,Hotel,Hockey Arena
20,2.2198290000000003,41.411777,TRAMVIA (T4),FÒRUM/TRAMVIA (T4),1,Restaurant,Coffe Shop,Clothing Store,Hotel,Italian Restaurant,Tapas Restaurant,Burger Joint,Fried Chicken Joint,Sporting Goods Shop,Fast Food Restaurant
25,2.1331900000000004,41.373293,METRO (L1),MERCAT NOU/METRO (L1),7,Coffe Shop,Mediterranean Restaurant,Tapas Restaurant,Hostel,Bakery,Italian Restaurant,Bar,Supermarket,Pie Shop,Plaza
26,2.145478,41.378565,METRO (L3),TARRAGONA/METRO (L3),1,Restaurant,Hotel,Coffe Shop,Gym,Bar,Tapas Restaurant,Park,Grocery Store,Burger Joint,Pizza Place
27,2.147798,41.434855,METRO (L3),MUNDET/METRO (L3),4,Restaurant,Plaza,Coffe Shop,Hotel,Soccer Field,Gym,Stadium,Garden,Soccer Stadium,Chinese Restaurant
29,2.215909,41.41174,METRO (L4),EL MARESME/METRO (L4),1,Coffe Shop,Restaurant,Hotel,Clothing Store,Italian Restaurant,Burger Joint,Tapas Restaurant,Diner,Fried Chicken Joint,Juice Bar
30,2.163252,41.385015,METRO (L2),UNIVERSITAT/METRO (L2),1,Coffe Shop,Hotel,Cocktail Bar,Bookstore,Mediterranean Restaurant,Vegetarian / Vegan Restaurant,Bar,Restaurant,Gym,Beer Bar
35,2.127857,41.388357,METRO (L3),MARIA CRISTINA/METRO (L3),0,Restaurant,Coffe Shop,Supermarket,Bar,Sandwich Place,Diner,Japanese Restaurant,Cocktail Bar,Burger Joint,Vegetarian / Vegan Restaurant
37,2.178826,41.444145,METRO (L4),VIA JÚLIA/METRO (L4),5,Restaurant,Grocery Store,Park,Gift Shop,Sports Club,Building,Bar,Pizza Place,Plaza,Port
38,2.141603,41.380858,METRO (L3),SANTS ESTACIÓ/METRO (L3),0,Restaurant,Hotel,Coffe Shop,Grocery Store,Tapas Restaurant,Mediterranean Restaurant,Supermarket,Burger Joint,Park,Nightclub
39,2.171334,41.394796,METRO (L4),GIRONA/METRO (L4),2,Hotel,Coffe Shop,Restaurant,Hostel,Burger Joint,Tapas Restaurant,Seafood Restaurant,Pizza Place,Gym,BBQ Joint
