,station,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
157,RETIRO/2,Restaurant,Hotel,Coffe Shop,Italian Restaurant,Dessert Shop,Shoe Store,Japanese Restaurant,Burger Joint,Park,Accessories Store
158,RIOS ROSAS/1,Restaurant,Tapas Restaurant,Coffe Shop,Bar,Supermarket,Italian Restaurant,Theater,Pizza Place,Japanese Restaurant,Pub
159,RONDA DE LA COMUNICACION/10B,Restaurant,Coffe Shop,IT Services,Italian Restaurant,Lake,Sushi Restaurant,Indian Restaurant,Mobile Phone Shop,Sandwich Place,Burger Joint
160,RUBEN DARIO/5,Restaurant,Hotel,Boutique,Tapas Restaurant,Mediterranean Restaurant,Japanese Restaurant,Cocktail Bar,Furniture / Home Store,French Restaurant,Jewelry Store
161,SAINZ DE BARANDA/6,Restaurant,Italian Restaurant,Brewery,Plaza,Burger Joint,Pool,Athletics & Sports,Sports Club,Cocktail Bar,Indian Restaurant
162,SAN BERNARDO/2,Restaurant,Bar,Mexican Restaurant,Coffe Shop,Plaza,Hotel,Brewery,Ice Cream Shop,Japanese Restaurant,Italian Restaurant
163,SAN CIPRIANO/9A,Restaurant,Grocery Store,Market,Electronics Store,Convenience Store,Ice Cream Shop,Beer Bar,Playground,Pizza Place,Wine Bar
164,SAN CRISTOBAL/3,Baseball Stadium,Convenience Store,Breakfast Spot,Tapas Restaurant,Grocery Store,Candy Store,Miscellaneous Shop,Building,Paper / Office Supplies Store,Tennis Court
165,SAN FERMIN-ORCASUR/3,Fast Food Restaurant,Restaurant,Pizza Place,Pharmacy,Furniture / Home Store,Bed & Breakfast,Supermarket,Soccer Field,Grocery Store,Gym Pool
166,SAN FRANCISCO/11,Restaurant,Coffe Shop,Food & Drink Shop,Grocery Store,Supermarket,Hotel,German Restaurant,Kebab Restaurant,Miscellaneous Shop,Building
167,SAN LORENZO/4,Restaurant,Supermarket,Gourmet Shop,Soup Place,Shopping Mall,Food,Hotel,Brewery,Garden,Bar
168,SANTA EUGENIA/C-2,Restaurant,Farmers Market,Miscellaneous Shop,Bar,Tapas Restaurant,Gym,Supermarket,Yoga Studio,Building,Paper / Office Supplies Store
169,SANTIAGO BERNABEU/10A,Restaurant,Coffe Shop,Soccer Stadium,Bakery,Italian Restaurant,Clothing Store,Burger Joint,Plaza,Brewery,Nightclub
170,SANTO DOMINGO/2,Restaurant,Coffe Shop,Hotel,Bar,Cocktail Bar,Theater,Hostel,Plaza,Bookstore,Tapas Restaurant
171,SERRANO/4,Restaurant,Hotel,Clothing Store,Italian Restaurant,Coffe Shop,Tapas Restaurant,Japanese Restaurant,Furniture / Home Store,Accessories Store,Shoe Store
172,SEVILLA/2,Restaurant,Hotel,Tapas Restaurant,Cocktail Bar,Plaza,Art Museum,Coffe Shop,Pizza Place,Theater,Paella Restaurant
173,SIERRA DE GUADALUPE/1,Deli / Bodega,Fast Food Restaurant,Department Store,Breakfast Spot,Seafood Restaurant,Church,Grocery Store,Dessert Shop,Shoe Store,Building
174,SIMANCAS/7A,Park,Restaurant,Supermarket,Music Venue,Gym Pool,Lake,Office,Shoe Store,Arcade,Wine Shop
175,SOL/1,Restaurant,Hotel,Tapas Restaurant,Plaza,Coffe Shop,Hostel,Bookstore,Art Museum,Ice Cream Shop,Gourmet Shop
176,SUANZES/5,Restaurant,Mediterranean Restaurant,Hotel,Coffe Shop,Italian Restaurant,Fast Food Restaurant,American Restaurant,Music Venue,Buffet,Brewery
177,TETUAN/1,Restaurant,Coffe Shop,Supermarket,Brazilian Restaurant,Brewery,Chinese Restaurant,Grocery Store,Pizza Place,Gym,Hotel
178,TIRSO DE MOLINA/1,Restaurant,Hotel,Coffe Shop,Tapas Restaurant,Plaza,Theater,Hostel,Ice Cream Shop,Bistro,Supermarket
179,TORRE ARIAS/5,Plaza,Rock Club,Shopping Mall,Gastropub,Restaurant,Lake,Office,Gym Pool,Shoe Store,Wine Shop
180,TRES OLIVOS/10A,Coffe Shop,Track Stadium,Pharmacy,Supermarket,Plaza,Wine Shop,Neighborhood,German Restaurant,Miscellaneous Shop,Building
181,TRIBUNAL/1,Restaurant,Bar,Cocktail Bar,Coffe Shop,Italian Restaurant,Tapas Restaurant,Plaza,Bookstore,Nightclub,Hotel
182,URGEL/5,Coffe Shop,Gym,Fast Food Restaurant,Grocery Store,Flea Market,Supermarket,Neighborhood,Wine Shop,Miscellaneous Shop,Building
183,USERA/6,Grocery Store,Fast Food Restaurant,Restaurant,Bakery,BBQ Joint,Pool,Noodle House,Gastropub,Soccer Field,Pub
184,VALDEACEDERAS/1,Restaurant,Coffe Shop,Chinese Restaurant,Grocery Store,Hotel,Italian Restaurant,Gym,Mediterranean Restaurant,Brewery,BBQ Joint
185,VALDEBERNARDO/9A,Restaurant,Gym,Supermarket,Food,Fast Food Restaurant,Pizza Place,Falafel Restaurant,Tapas Restaurant,Soccer Stadium,Kebab Restaurant
186,VALDEZARZA/7A,Restaurant,Supermarket,Soccer Field,Pharmacy,Asian Restaurant,Gym Pool,Lake,Office,Arcade,Shoe Store
187,VALLECAS/C-2,Department Store,Grocery Store,Breakfast Spot,Church,Fast Food Restaurant,Deli / Bodega,Dessert Shop,Shoe Store,Building,Paper / Office Supplies Store
188,VELAZQUEZ/4,Restaurant,Hotel,Clothing Store,Ice Cream Shop,Bakery,Italian Restaurant,Tapas Restaurant,Coffe Shop,Burger Joint,Japanese Restaurant
189,VENTAS/2,Restaurant,Bakery,Italian Restaurant,General Entertainment,Miscellaneous Shop,Latin American Restaurant,Museum,American Restaurant,Mexican Restaurant,Gastropub
190,VENTILLA/9A,Restaurant,Gym,Flea Market,BBQ Joint,Library,Seafood Restaurant,Department Store,History Museum,General Entertainment,Soccer Stadium
191,VENTURA RODRIGUEZ/3,Restaurant,Hotel,Coffe Shop,Tapas Restaurant,Mexican Restaurant,Mediterranean Restaurant,Bar,Art Museum,Bookstore,Movie Theater
192,VICALVARO/9A,Restaurant,Pizza Place,Ice Cream Shop,Beer Bar,Breakfast Spot,Fast Food Restaurant,Sandwich Place,Coffe Shop,Grocery Store,Dessert Shop
193,VILLA DE VALLECAS/1,Restaurant,Grocery Store,Soccer Field,Church,Plaza,Gym Pool,Lake,Office,Shoe Store,Wine Shop
194,VILLAVERDE ALTO/3,Restaurant,Diner,Mobile Phone Shop,Kebab Restaurant,Miscellaneous Shop,Building,Paper / Office Supplies Store,Tennis Court,General Entertainment,German Restaurant
195,VILLAVERDE BAJO CRUCE/3,Restaurant,Grocery Store,Pet Store,Electronics Store,Park,Bus Station,Coffe Shop,Wine Shop,Miscellaneous Shop,Building
196,VILLAVERDE BAJO/C-3,Track Stadium,Latin American Restaurant,Tapas Restaurant,Gym,Pizza Place,Supermarket,Brewery,Event Space,Kebab Restaurant,Miscellaneous Shop
197,VINATEROS/9A,Coffe Shop,Bar,Plaza,Restaurant,Pool,Ice Cream Shop,Brewery,Sandwich Place,Pub,Chinese Restaurant
198,VISTA ALEGRE/5,Fast Food Restaurant,Grocery Store,Breakfast Spot,Plaza,Comedy Club,Brewery,Convenience Store,Pub,Restaurant,Bar
199,place1,Restaurant,Clothing Store,Bar,Coffe Shop,Tapas Restaurant,Supermarket,Bakery,Fast Food Restaurant,Toy / Game Store,Hobby Shop
200,place2,Fast Food Restaurant,Restaurant,Grocery Store,Gym,Mediterranean Restaurant,South American Restaurant,Market,Eastern European Restaurant,Peruvian Restaurant,Camera Store
201,place3,Restaurant,Bar,Coffe Shop,Supermarket,Bakery,Plaza,Tapas Restaurant,Sports Bar,Comedy Club,Middle Eastern Restaurant
