,station,line,Latitude,Longitude
90,CANTOBLANCO UNIVERSIDAD,C-4B,40.543780580469516,-3.700350083538947
91,CHAMARTIN,C-4B,40.47209555413991,-3.6824760485471546
92,COLMENAR VIEJO,C-4B,40.64496269820276,-3.7757393915731905
93,FUENCARRAL,C-4B,40.5015555376017,-3.6823496669951212
94,GETAFE CENTRO,C-4B,40.310094381024776,-3.7339415328765986
95,GETAFE SECTOR 3,C-4B,40.2882434458623,-3.7373403731967767
96,"GOLOSO, EL",C-4B,40.55857014504328,-3.7140759416074705
97,"MARGARITAS-UNIVERSIDAD, LAS",C-4B,40.323036955698726,-3.727384201033014
98,NUEVOS MINISTERIOS,C-4B,40.44661350044421,-3.6923477073536035
99,PARLA,C-4B,40.24076335209985,-3.769366602325555
100,SOL,C-4B,40.41683686346023,-3.7030985648988053
101,TRES CANTOS,C-4B,40.598433257758494,-3.715658181872107
102,VILLAVERDE ALTO,C-4B,40.34122350120482,-3.7119321282791984
103,VILLAVERDE BAJO,C-4B,40.352635537500554,-3.6839904315941423
104,"AGUILAS, LAS",C-5,40.38117943069571,-3.780280303693509
105,ALCORCON,C-5,40.35007281809477,-3.831732961710275
106,ALUCHE,C-5,40.385624906494115,-3.760750749791809
107,ATOCHA,C-5,40.40658651228024,-3.6893092868843853
108,CUATRO VIENTOS,C-5,40.37769814127518,-3.791443025609041
109,DOCE DE OCTUBRE,C-5,40.37895385196138,-3.6986167964348917
110,EMBAJADORES,C-5,40.405118906181,-3.702634855778819
111,FANJUL,C-5,40.38364522762784,-3.768574728023283
112,FUENLABRADA,C-5,40.28267273426812,-3.7988623186055968
113,HUMANES,C-5,40.255644047402015,-3.8284707650991487
114,LAGUNA,C-5,40.399173948035425,-3.7442290676830248
115,LEGANES,C-5,40.328976562989126,-3.771485710166074
116,MENDEZ ALVARO,C-5,40.395373531545985,-3.678083333693072
117,MOSTOLES,C-5,40.32849744728476,-3.863498351455414
118,MOSTOLES EL SOTO,C-5,40.33088681443943,-3.8823403399691787
119,ORCASITAS,C-5,40.366900514655114,-3.704416796700134
120,PARQUE POLVORANCA,C-5,40.31250015059896,-3.7833493990779954
121,PUENTE ALCOCER,C-5,40.35028313244251,-3.705162346126635
122,"RETAMAS, LAS",C-5,40.341887210881154,-3.842429042631016
123,SAN JOSE DE VALDERAS,C-5,40.35652806930174,-3.8158905774589313
124,"SERNA, LA",C-5,40.29671689427977,-3.7924857886266117
125,VILLAVERDE ALTO,C-5,40.34122350120482,-3.7119321282791984
126,ZARZAQUEMADA,C-5,40.340849729616316,-3.748309003520136
127,ALCALÁ DE HENARES,C-7A,40.489025382703794,-3.366345988497244
128,ARAVACA,C-7A,40.4483218454516,-3.785867623306033
129,ASAMBLEA DE MADRID-ENTREVIAS,C-7A,40.381666238433745,-3.668014615023188
130,ATOCHA,C-7A,40.40658651228024,-3.6893092868843853
131,"BARRIAL-C.COM.POZUELO, EL",C-7A,40.46536911220596,-3.8077462504578428
132,CHAMARTIN,C-7A,40.47209555413991,-3.6824760485471546
133,COSLADA,C-7A,40.42373013416115,-3.561146077392619
134,"GARENA, LA",C-7A,40.48043271733471,-3.3931755498978244
135,MAJADAHONDA,C-7A,40.47427123756694,-3.8453554464692945
136,NUEVOS MINISTERIOS,C-7A,40.44661350044421,-3.6923477073536035
137,PITIS,C-7A,40.49510136352008,-3.7258523073891965
138,"POZO, EL",C-7A,40.37589576956187,-3.6562366719483803
139,POZUELO,C-7A,40.447260086569074,-3.8001238746529773
140,PRINCIPE PIO,C-7A,40.421064507994544,-3.7202701157641935
141,RAMON Y CAJAL,C-7A,40.48823855927127,-3.694745799781866
142,RECOLETOS,C-7A,40.42340615992542,-3.6908601632799383
143,"ROZAS, LAS",C-7A,40.494228236957326,-3.8681329046096558
144,SAN FERNANDO,C-7A,40.442661299211494,-3.5338527701769977
145,SANTA EUGENIA,C-7A,40.386982804664136,-3.6090639338426196
146,SOTO DEL HENARES,C-7A,40.463529069628066,-3.4413430244597802
147,TORREJON DE ARDOZ,C-7A,40.454600927102526,-3.479826252209788
148,VALLECAS,C-7A,40.38220639867893,-3.6245600075556976
149,VICALVARO,C-7A,40.40131262489014,-3.595935723437658
150,ATOCHA,C-7B,40.40658651228024,-3.6893092868843853
151,ATOCHA,C-7B,40.40658651228024,-3.6893092868843853
152,CHAMARTIN,C-7B,40.47209555413991,-3.6824760485471546
153,DELICIAS,C-7B,40.400367595318635,-3.6927692985734324
154,FUENTE DE LA MORA,C-7B,40.4847413558896,-3.662829237134829
155,MENDEZ ALVARO,C-7B,40.395373531545985,-3.678083333693072
156,NUEVOS MINISTERIOS,C-7B,40.44661350044421,-3.6923477073536035
157,PIRAMIDES,C-7B,40.40258818141603,-3.711340844052455
158,PRINCIPE PIO,C-7B,40.421064507994544,-3.7202701157641935
159,RECOLETOS,C-7B,40.42340615992542,-3.6908601632799383
160,ALCALÁ DE HENARES,C-8A,40.489025382703794,-3.366345988497244
161,ALCALÁ DE HENARES UNIVERSIDAD,C-8A,40.505335483779135,-3.335417591794884
162,ASAMBLEA DE MADRID-ENTREVIAS,C-8A,40.381666238433745,-3.668014615023188
163,ATOCHA,C-8A,40.40658651228024,-3.6893092868843853
164,AZUQUECA,C-8A,40.561030509406315,-3.265471041498204
165,AZUQUECA,C-8A,40.561030509406315,-3.265471041498204
166,CHAMARTIN,C-8A,40.47209555413991,-3.6824760485471546
167,COSLADA,C-8A,40.42373013416115,-3.561146077392619
168,"ESCORIAL, EL",C-8A,40.58526237431351,-4.132340864693605
169,GALAPAGAR-LA NAVATA,C-8A,40.60010752011099,-3.9818645048730548
170,"GARENA, LA",C-8A,40.48043271733471,-3.3931755498978244
171,GUADALAJARA,C-8A,40.64408200371336,-3.1823959246544775
172,"MATAS, LAS",C-8A,40.552512233963505,-3.89684104191362
173,MECO,C-8A,40.53461637075031,-3.29866449650398
174,NUEVOS MINISTERIOS,C-8A,40.44661350044421,-3.6923477073536035
175,PINAR DE LAS ROZAS,C-8A,40.52229261381278,-3.88216547527542
176,PITIS,C-8A,40.49510136352008,-3.7258523073891965
177,"POZO, EL",C-8A,40.37589576956187,-3.6562366719483803
178,RAMON Y CAJAL,C-8A,40.48823855927127,-3.694745799781866
179,RECOLETOS,C-8A,40.42340615992542,-3.6908601632799383
180,ROBLEDO DE CHAVELA,C-8A,40.520771925624736,-4.2467185890231365
181,SAN FERNANDO,C-8A,40.442661299211494,-3.5338527701769977
182,SAN YAGO,C-8A,40.61785773279367,-4.031115097086756
183,SANTA EUGENIA,C-8A,40.386982804664136,-3.6090639338426196
184,SANTA MARIA DE LA ALAMEDA,C-8A,40.56891087182879,-4.269336298057667
185,TORREJON DE ARDOZ,C-8A,40.454600927102526,-3.479826252209788
186,TORRELODONES,C-8A,40.57450104755433,-3.956549700643582
187,VALLECAS,C-8A,40.38220639867893,-3.6245600075556976
188,VICALVARO,C-8A,40.40131262489014,-3.595935723437658
189,VILLALBA,C-8A,40.62635780522544,-4.00810707481334
190,ZARZALEJO,C-8A,40.53871085739203,-4.158172013443555
191,"ZORRERAS, LAS",C-8A,40.6094083043936,-4.0460682663228775
192,ALCALÁ DE HENARES,C-8B,40.489025382703794,-3.366345988497244
193,ALCALÁ DE HENARES UNIVERSIDAD,C-8B,40.505335483779135,-3.335417591794884
194,ALPEDRETE,C-8B,40.65815375587412,-4.035071166744098
195,ASAMBLEA DE MADRID-ENTREVIAS,C-8B,40.381666238433745,-3.668014615023188
196,ATOCHA,C-8B,40.40658651228024,-3.6893092868843853
197,AZUQUECA,C-8B,40.561030509406315,-3.265471041498204
198,AZUQUECA,C-8B,40.561030509406315,-3.265471041498204
199,CERCEDILLA,C-8B,40.73756216129166,-4.065909176311622
200,CERCEDILLA,C-8B,40.73756216129166,-4.065909176311622
201,CHAMARTIN,C-8B,40.47209555413991,-3.6824760485471546
202,COLLADO MEDIANO,C-8B,40.69274825161098,-4.0358785893943585
203,COSLADA,C-8B,40.42373013416115,-3.561146077392619
204,GALAPAGAR-LA NAVATA,C-8B,40.60010752011099,-3.9818645048730548
205,"GARENA, LA",C-8B,40.48043271733471,-3.3931755498978244
206,GUADALAJARA,C-8B,40.64408200371336,-3.1823959246544775
207,"MATAS, LAS",C-8B,40.552512233963505,-3.89684104191362
208,MECO,C-8B,40.53461637075031,-3.29866449650398
209,"MOLINOS, LOS",C-8B,40.70733940661548,-4.06682396746246
210,"NEGRALES, LOS",C-8B,40.63856931899298,-4.02190219239213
211,NUEVOS MINISTERIOS,C-8B,40.44661350044421,-3.6923477073536035
212,PINAR DE LAS ROZAS,C-8B,40.52229261381278,-3.88216547527542
213,PITIS,C-8B,40.49510136352008,-3.7258523073891965
214,"POZO, EL",C-8B,40.37589576956187,-3.6562366719483803
